Crop,Year,State,Area ('000 Hectares),Production ('000 Tonnes),Yield (Kg per Ha))
Minor Millets,1976-77,Punjab,,,
Minor Millets,1977-78,Punjab,,,
Minor Millets,1978-79,Punjab,,,
Minor Millets,1979-80,Punjab,,,
Minor Millets,1980-81,Punjab,,,
Minor Millets,1981-82,Punjab,,,
Minor Millets,1982-83,Punjab,,,
Minor Millets,1983-84,Punjab,,,
Minor Millets,1984-85,Punjab,,,
Minor Millets,1985-86,Punjab,,,
Minor Millets,1986-87,Punjab,,,
Minor Millets,1987-88,Punjab,,,
Minor Millets,1988-89,Punjab,,,
Minor Millets,1989-90,Punjab,,,
Minor Millets,1990-91,Punjab,,,
Minor Millets,1991-92,Punjab,,,
Minor Millets,1992-93,Punjab,,,
Minor Millets,1993-94,Punjab,,,
Minor Millets,1994-95,Punjab,,,
Minor Millets,1995-96,Punjab,,,
Minor Millets,1996-97,Punjab,,,
Minor Millets,1997-98,Punjab,,,
Minor Millets,1998-99,Punjab,,,
Minor Millets,1999-00,Punjab,,,
Minor Millets,2000-01      ,Punjab,,,
Minor Millets,2001-02         ,Punjab,4.50,1.80,400.00
Minor Millets,2002-03  ,Punjab,3.70,1.30,351.35
Minor Millets,2003-04,Punjab,2.70,1.00,370.37
Minor Millets,2004-05,Punjab,2.70,1.00,370.37
Minor Millets,2005-06,Punjab,3.00,1.00,333.33
Minor Millets,2006-07,Punjab,3.00,1.00,333.33
Minor Millets,2007-08,Punjab,3.00,1.00,333.33
Minor Millets,2008-09,Punjab,3.00,1.00,333.33
Minor Millets,2009-10,Punjab,2.90,1.00,344.83
Minor Millets,2010-11,Punjab,,,
Minor Millets,2011-12,Punjab,,,
Minor Millets,2012-13,Punjab,,,
Minor Millets,2013-14,Punjab,,,
Minor Millets,2014-15,Punjab,,,
Minor Millets,2015-16,Punjab,,,
Minor Millets,2016-17,Punjab,,,
Minor Millets,2017-18,Punjab,,,
Minor Millets,1966-67,Rajasthan ,66.80,13.80,206.59
Minor Millets,1967-68,Rajasthan ,80.60,32.60,404.47
Minor Millets,1968-69,Rajasthan ,63.80,14.50,227.27
Minor Millets,1969-70,Rajasthan ,77.60,19.30,248.71
Minor Millets,1970-71,Rajasthan ,73.50,34.90,474.83
Minor Millets,1971-72,Rajasthan ,68.90,27.20,394.78
Minor Millets,1972-73,Rajasthan ,60.10,6.80,113.14
Minor Millets,1973-74,Rajasthan ,70.70,15.10,213.58
Minor Millets,1974-75,Rajasthan ,50.20,5.10,101.59
Minor Millets,1975-76,Rajasthan ,76.20,31.10,408.14
Minor Millets,1976-77,Rajasthan ,69.10,25.10,363.24
Minor Millets,1977-78,Rajasthan ,58.20,21.40,367.70
Minor Millets,1978-79,Rajasthan ,57.50,15.50,269.57
Minor Millets,1979-80,Rajasthan ,47.40,3.50,73.84
Minor Millets,1980-81,Rajasthan ,46.90,3.80,81.02
Minor Millets,1981-82,Rajasthan ,48.60,7.70,158.44
Minor Millets,1982-83,Rajasthan ,43.60,5.20,119.27
Minor Millets,1983-84,Rajasthan ,45.20,22.20,491.15
Minor Millets,1984-85,Rajasthan ,37.50,15.00,400.00
Minor Millets,1985-86,Rajasthan ,34.40,1.00,29.07
Minor Millets,1986-87,Rajasthan ,34.20,1.40,40.94
Minor Millets,1987-88,Rajasthan ,28.40,1.50,52.82
Minor Millets,1988-89,Rajasthan ,45.80,15.60,340.61
Minor Millets,1989-90,Rajasthan ,34.70,12.50,360.23
Minor Millets,1990-91,Rajasthan ,33.80,13.00,384.62
Minor Millets,1991-92,Rajasthan ,30.40,2.60,85.53
Minor Millets,1992-93,Rajasthan ,27.80,8.40,302.16
Minor Millets,1993-94,Rajasthan ,24.60,1.70,69.11
Minor Millets,1994-95,Rajasthan ,22.60,5.80,256.64
Minor Millets,1995-96,Rajasthan ,20.00,3.00,150.00
Minor Millets,1996-97,Rajasthan ,19.90,7.80,391.96
Minor Millets,1997-98,Rajasthan ,18.00,10.40,577.78
Minor Millets,1998-99,Rajasthan ,16.60,2.10,126.51
Minor Millets,1999-00,Rajasthan ,14.10,0.80,56.74
Minor Millets,2000-01      ,Rajasthan ,15.50,0.60,38.71
Minor Millets,2001-02         ,Rajasthan ,18.00,6.90,383.33
Minor Millets,2002-03  ,Rajasthan ,17.50,1.00,57.14
Minor Millets,2003-04,Rajasthan ,18.40,11.10,603.26
Minor Millets,2004-05,Rajasthan ,16.90,8.00,473.37
Minor Millets,2005-06,Rajasthan ,16.90,5.40,319.53
Minor Millets,2006-07,Rajasthan ,16.70,5.00,299.40
Minor Millets,2007-08,Rajasthan ,14.70,9.00,612.24
Minor Millets,2008-09,Rajasthan ,13.70,2.80,204.38
Minor Millets,2009-10,Rajasthan ,18.70,2.60,139.04
Minor Millets,2010-11,Rajasthan ,17.42,9.33,535.40
Minor Millets,2011-12,Rajasthan ,15.79,5.20,329.32
Minor Millets,2012-13,Rajasthan ,13.31,8.19,615.51
Minor Millets,2013-14,Rajasthan ,13.65,4.51,330.40
Minor Millets,2014-15,Rajasthan ,13.85,5.24,378.34
Minor Millets,2015-16,Rajasthan ,13.91,6.70,481.77
Minor Millets,2016-17,Rajasthan ,14.67,10.19,694.84
Minor Millets,2017-18,Rajasthan ,10.48,7.34,701.00
Minor Millets,2018-19,Rajasthan ,10.42,10.60,1018.00
Minor Millets,2019-20,Rajasthan ,10.12,5.24,518.00
Minor Millets,1966-67,Sikkim  ,,,
Minor Millets,1967-68,Sikkim  ,,,
Minor Millets,1968-69,Sikkim  ,,,
Minor Millets,1969-70,Sikkim  ,,,
Minor Millets,1970-71,Sikkim  ,,,
Minor Millets,1971-72,Sikkim  ,,,
Minor Millets,1972-73,Sikkim  ,,,
Minor Millets,1973-74,Sikkim  ,,,
Minor Millets,1974-75,Sikkim  ,,,
Minor Millets,1975-76,Sikkim  ,,,
Minor Millets,1976-77,Sikkim  ,,,
Minor Millets,1977-78,Sikkim  ,,,
Minor Millets,1978-79,Sikkim  ,,,
Minor Millets,1979-80,Sikkim  ,,,
Minor Millets,1980-81,Sikkim  ,,,
Minor Millets,1981-82,Sikkim  ,,,
Minor Millets,1982-83,Sikkim  ,,,
Minor Millets,1983-84,Sikkim  ,,,
Minor Millets,1984-85,Sikkim  ,,,
Minor Millets,1985-86,Sikkim  ,,,
Minor Millets,1986-87,Sikkim  ,,,
Minor Millets,1987-88,Sikkim  ,,,
Minor Millets,1988-89,Sikkim  ,,,
Minor Millets,1989-90,Sikkim  ,,,
Minor Millets,1990-91,Sikkim  ,,,
Minor Millets,1991-92,Sikkim  ,,,
Minor Millets,1992-93,Sikkim  ,,,
Minor Millets,1993-94,Sikkim  ,,,
Minor Millets,1994-95,Sikkim  ,,,
Minor Millets,1995-96,Sikkim  ,,,
Minor Millets,1996-97,Sikkim  ,,,
Minor Millets,1997-98,Sikkim  ,,,
Minor Millets,1998-99,Sikkim  ,,,
Minor Millets,1999-00,Sikkim  ,2.10,1.60,761.90
Minor Millets,2000-01      ,Sikkim  ,2.00,1.50,750.00
Minor Millets,2001-02         ,Sikkim  ,1.40,1.00,714.29
Minor Millets,2002-03  ,Sikkim  ,2.00,1.50,750.00
Minor Millets,2003-04,Sikkim  ,2.00,1.60,800.00
Minor Millets,2004-05,Sikkim  ,4.20,3.60,857.14
Minor Millets,2005-06,Sikkim  ,2.30,1.80,782.61
Minor Millets,2006-07,Sikkim  ,2.30,1.80,782.61
Minor Millets,2007-08,Sikkim  ,5.80,5.30,913.79
Minor Millets,2008-09,Sikkim  ,3.30,2.80,848.48
Minor Millets,2009-10,Sikkim  ,2.20,2.00,909.09
Minor Millets,2010-11,Sikkim  ,4.39,5.05,1150.34
Minor Millets,2011-12,Sikkim  ,2.95,2.84,962.71
Minor Millets,2012-13,Sikkim  ,6.54,6.34,969.42
Minor Millets,2013-14,Sikkim  ,2.96,2.97,1003.38
Minor Millets,2014-15,Sikkim  ,2.96,2.97,1003.38
Minor Millets,2015-16,Sikkim  ,3.57,3.50,980.39
Minor Millets,2016-17,Sikkim  ,6.65,6.71,1009.02
Minor Millets,2017-18,Sikkim  ,2.47,2.55,1031.00
Minor Millets,2018-19,Sikkim  ,2.11,2.18,1032.00
Minor Millets,2019-20,Sikkim  ,2.28,2.37,1037.00
Minor Millets,1966-67,Tamil Nadu,475.70,371.50,780.95
Minor Millets,1967-68,Tamil Nadu,474.20,366.30,772.46
Minor Millets,1968-69,Tamil Nadu,474.20,366.30,772.46
Minor Millets,1969-70,Tamil Nadu,486.40,361.30,742.80
Minor Millets,1970-71,Tamil Nadu,477.50,367.40,769.42
Minor Millets,1971-72,Tamil Nadu,426.60,331.40,776.84
Minor Millets,1972-73,Tamil Nadu,376.40,279.50,742.56
Minor Millets,1973-74,Tamil Nadu,370.50,281.50,759.78
Minor Millets,1974-75,Tamil Nadu,351.30,127.00,361.51
Minor Millets,1975-76,Tamil Nadu,420.50,301.30,716.53
Minor Millets,1976-77,Tamil Nadu,468.50,330.40,705.23
Minor Millets,1977-78,Tamil Nadu,439.90,325.80,740.62
Minor Millets,1978-79,Tamil Nadu,375.50,285.80,761.12
Minor Millets,1979-80,Tamil Nadu,372.20,282.00,757.66
Minor Millets,1980-81,Tamil Nadu,276.60,213.90,773.32
Minor Millets,1981-82,Tamil Nadu,267.70,206.30,770.64
Minor Millets,1982-83,Tamil Nadu,276.20,201.30,728.82
Minor Millets,1983-84,Tamil Nadu,301.70,193.10,640.04
Minor Millets,1984-85,Tamil Nadu,279.00,155.90,558.78
Minor Millets,1985-86,Tamil Nadu,261.70,148.20,566.30
Minor Millets,1986-87,Tamil Nadu,253.40,240.70,949.88
Minor Millets,1987-88,Tamil Nadu,235.60,248.90,1056.45
Minor Millets,1988-89,Tamil Nadu,215.40,191.00,886.72
Minor Millets,1989-90,Tamil Nadu,209.50,112.70,537.95
Minor Millets,1990-91,Tamil Nadu,169.00,102.20,604.73
Minor Millets,1991-92,Tamil Nadu,143.50,128.50,895.47
Minor Millets,1992-93,Tamil Nadu,123.80,110.70,894.18
Minor Millets,1993-94,Tamil Nadu,116.00,114.90,990.52
Minor Millets,1994-95,Tamil Nadu,118.30,105.60,892.65
Minor Millets,1995-96,Tamil Nadu,86.90,67.70,779.06
Minor Millets,1996-97,Tamil Nadu,82.90,64.30,775.63
Minor Millets,1997-98,Tamil Nadu,76.00,63.30,832.89
Minor Millets,1998-99,Tamil Nadu,69.60,68.80,988.51
Minor Millets,1999-00,Tamil Nadu,56.80,48.90,860.92
Minor Millets,2000-01      ,Tamil Nadu,63.80,62.00,971.79
Minor Millets,2001-02         ,Tamil Nadu,66.00,53.00,803.03
Minor Millets,2002-03  ,Tamil Nadu,65.50,51.50,786.26
Minor Millets,2003-04,Tamil Nadu,64.80,42.60,657.41
Minor Millets,2004-05,Tamil Nadu,50.70,42.80,844.18
Minor Millets,2005-06,Tamil Nadu,40.50,30.10,743.21
Minor Millets,2006-07,Tamil Nadu,45.10,61.60,1365.85
Minor Millets,2007-08,Tamil Nadu,38.20,37.00,968.59
Minor Millets,2008-09,Tamil Nadu,31.70,29.10,917.98
Minor Millets,2009-10,Tamil Nadu,33.10,31.10,939.58
Minor Millets,2010-11,Tamil Nadu,32.17,33.54,1042.59
Minor Millets,2011-12,Tamil Nadu,30.19,36.54,1210.33
Minor Millets,2012-13,Tamil Nadu,26.30,26.55,1009.51
Minor Millets,2013-14,Tamil Nadu,32.42,35.18,1085.13
Minor Millets,2014-15,Tamil Nadu,27.65,34.92,1262.93
Minor Millets,2015-16,Tamil Nadu,31.28,36.40,1163.68
Minor Millets,2016-17,Tamil Nadu,23.55,21.22,901.06
Minor Millets,2017-18,Tamil Nadu,25.26,31.28,1238.32
Minor Millets,2018-19,Tamil Nadu,22.25,34.99,1572.58
Minor Millets,2019-20,Tamil Nadu,25.85,37.34,1444.49
Minor Millets,2012-13,Telangana,0.97,1.00,1030.93
Minor Millets,2013-14,Telangana,,,
Minor Millets,2014-15,Telangana,,,
Minor Millets,2015-16,Telangana,1.00,1.00,1000.00
Minor Millets,2016-17,Telangana,1.00,1.00,1000.00
Minor Millets,2017-18,Telangana,,,
Minor Millets,2018-19,Telangana,0.00,0.00,
Minor Millets,2019-20,Telangana,1.00,1.71,1711.00
Minor Millets,2018-19,Tripura,0.58,0.47,799.00
Minor Millets,2019-20,Tripura,0.46,0.38,830.00
Minor Millets,1966-67,Uttar Pradesh,534.00,285.60,534.83
Minor Millets,1967-68,Uttar Pradesh,607.30,382.90,630.50
Minor Millets,1968-69,Uttar Pradesh,568.40,348.80,613.65
Minor Millets,1969-70,Uttar Pradesh,545.30,317.40,582.06
Minor Millets,1970-71,Uttar Pradesh,499.60,334.40,669.34
Minor Millets,1971-72,Uttar Pradesh,431.40,202.70,469.87
Minor Millets,1972-73,Uttar Pradesh,493.10,285.40,578.79
Minor Millets,1973-74,Uttar Pradesh,510.20,287.80,564.09
Minor Millets,1974-75,Uttar Pradesh,445.60,255.10,572.49
Minor Millets,1975-76,Uttar Pradesh,408.70,211.50,517.49
Minor Millets,1976-77,Uttar Pradesh,485.30,323.80,667.22
Minor Millets,1977-78,Uttar Pradesh,464.10,328.00,706.74
Minor Millets,1978-79,Uttar Pradesh,446.30,281.70,631.19
Minor Millets,1979-80,Uttar Pradesh,352.50,147.50,418.44
Minor Millets,1980-81,Uttar Pradesh,360.20,237.80,660.19
Minor Millets,1981-82,Uttar Pradesh,328.50,201.10,612.18
Minor Millets,1982-83,Uttar Pradesh,291.70,188.30,645.53
Minor Millets,1983-84,Uttar Pradesh,296.00,197.60,667.57
Minor Millets,1984-85,Uttar Pradesh,266.00,174.80,657.14
Minor Millets,1985-86,Uttar Pradesh,244.50,194.90,797.14
Minor Millets,1986-87,Uttar Pradesh,235.30,175.20,744.58
Minor Millets,1987-88,Uttar Pradesh,210.80,123.20,584.44
Minor Millets,1988-89,Uttar Pradesh,205.20,157.60,768.03
Minor Millets,1989-90,Uttar Pradesh,369.00,353.00,956.64
Minor Millets,1990-91,Uttar Pradesh,320.00,312.00,975.00
Minor Millets,1991-92,Uttar Pradesh,155.10,125.80,811.09
Minor Millets,1992-93,Uttar Pradesh,152.40,125.20,821.52
Minor Millets,1993-94,Uttar Pradesh,139.30,123.60,887.29
Minor Millets,1994-95,Uttar Pradesh,146.30,133.60,913.19
Minor Millets,1995-96,Uttar Pradesh,143.00,137.90,964.34
Minor Millets,1996-97,Uttar Pradesh,134.30,140.20,1043.93
Minor Millets,1997-98,Uttar Pradesh,124.60,127.80,1025.68
Minor Millets,1998-99,Uttar Pradesh,112.10,114.60,1022.30
Minor Millets,1999-00,Uttar Pradesh,102.00,110.90,1087.25
Minor Millets,2000-01      ,Uttar Pradesh,32.80,22.10,673.78
Minor Millets,2001-02         ,Uttar Pradesh,29.30,19.80,675.77
Minor Millets,2002-03  ,Uttar Pradesh,22.10,14.00,633.48
Minor Millets,2003-04,Uttar Pradesh,27.70,22.00,794.22
Minor Millets,2004-05,Uttar Pradesh,24.00,9.00,375.00
Minor Millets,2005-06,Uttar Pradesh,21.80,14.40,660.55
Minor Millets,2006-07,Uttar Pradesh,17.10,10.50,614.04
Minor Millets,2007-08,Uttar Pradesh,19.10,11.80,617.80
Minor Millets,2008-09,Uttar Pradesh,13.60,8.40,617.65
Minor Millets,2009-10,Uttar Pradesh,7.00,9.00,1285.71
Minor Millets,2010-11,Uttar Pradesh,9.00,6.00,666.67
Minor Millets,2011-12,Uttar Pradesh,9.00,8.00,888.89
Minor Millets,2012-13,Uttar Pradesh,9.00,9.00,1000.00
Minor Millets,2013-14,Uttar Pradesh,8.00,6.00,750.00
Minor Millets,2014-15,Uttar Pradesh,7.00,5.00,714.29
Minor Millets,2015-16,Uttar Pradesh,8.00,5.00,625.00
Minor Millets,2016-17,Uttar Pradesh,9.00,5.00,555.56
Minor Millets,2017-18,Uttar Pradesh,9.00,5.85,650.00
Minor Millets,2018-19,Uttar Pradesh,6.00,4.53,755.00
Minor Millets,2019-20,Uttar Pradesh,8.00,5.82,728.00
Minor Millets,2018-19,Uttarakhand,56.00,69.89,1248.00
Minor Millets,2019-20,Uttarakhand,53.00,70.97,1339.00
Minor Millets,2000-01      ,Uttaranchal,74.50,89.90,1206.71
Minor Millets,2001-02         ,Uttaranchal,71.90,86.90,1208.62
Minor Millets,2002-03  ,Uttaranchal,73.00,69.00,945.21
Minor Millets,2003-04,Uttaranchal,85.00,105.00,1235.29
Minor Millets,2004-05,Uttaranchal,72.00,91.00,1263.89
Minor Millets,2005-06,Uttaranchal,74.00,87.00,1175.68
Minor Millets,2006-07,Uttaranchal,68.00,86.00,1264.71
Minor Millets,2007-08,Uttaranchal,76.00,91.00,1197.37
Minor Millets,2008-09,Uttaranchal,75.00,89.00,1186.67
Minor Millets,2009-10,Uttaranchal,72.00,70.00,972.22
Minor Millets,2010-11,Uttaranchal,75.91,91.83,1209.69
Minor Millets,2011-12,Uttaranchal,72.00,88.00,1222.22
Minor Millets,2012-13,Uttaranchal,74.74,93.99,1257.56
Minor Millets,2013-14,Uttaranchal,64.50,78.10,1210.85
Minor Millets,2014-15,Uttaranchal,62.99,82.55,1310.53
Minor Millets,2015-16,Uttaranchal,59.02,74.32,1259.23
Minor Millets,2016-17,Uttaranchal,63.00,85.00,1349.21
Minor Millets,2017-18,Uttaranchal,59.00,76.00,1288.14
Minor Millets,1966-67,West Bengal,10.00,5.60,560.00
Minor Millets,1967-68,West Bengal,11.70,6.40,547.01
Minor Millets,1968-69,West Bengal,11.40,6.50,570.18
Minor Millets,1969-70,West Bengal,12.90,7.80,604.65
Minor Millets,1970-71,West Bengal,15.40,9.80,636.36
Minor Millets,1971-72,West Bengal,7.60,4.40,578.95
Minor Millets,1972-73,West Bengal,7.30,3.40,465.75
Minor Millets,1973-74,West Bengal,14.80,8.80,594.59
Minor Millets,1974-75,West Bengal,17.90,12.60,703.91
Minor Millets,1975-76,West Bengal,15.10,12.10,801.32
Minor Millets,1976-77,West Bengal,15.30,10.00,653.59
Minor Millets,1977-78,West Bengal,13.10,9.40,717.56
Minor Millets,1978-79,West Bengal,14.10,8.40,595.74
Minor Millets,1979-80,West Bengal,11.70,7.40,632.48
Minor Millets,1980-81,West Bengal,10.30,7.10,689.32
Minor Millets,1981-82,West Bengal,10.10,7.30,722.77
Minor Millets,1982-83,West Bengal,8.60,5.70,662.79
Minor Millets,1983-84,West Bengal,7.70,4.00,519.48
Minor Millets,1984-85,West Bengal,13.20,7.80,590.91
Minor Millets,1985-86,West Bengal,9.10,4.50,494.51
Minor Millets,1986-87,West Bengal,9.30,6.20,666.67
Minor Millets,1987-88,West Bengal,11.00,6.20,563.64
Minor Millets,1988-89,West Bengal,12.90,7.00,542.64
Minor Millets,1989-90,West Bengal,13.20,6.90,522.73
Minor Millets,1990-91,West Bengal,10.60,5.30,500.00
Minor Millets,1991-92,West Bengal,7.70,4.50,584.42
Minor Millets,1992-93,West Bengal,6.80,3.90,573.53
Minor Millets,1993-94,West Bengal,8.60,4.60,534.88
Minor Millets,1994-95,West Bengal,6.10,3.50,573.77
Minor Millets,1995-96,West Bengal,5.50,3.00,545.45
Minor Millets,1996-97,West Bengal,7.10,6.00,845.07
Minor Millets,1997-98,West Bengal,5.00,3.20,640.00
Minor Millets,1998-99,West Bengal,4.90,3.30,673.47
Minor Millets,1999-00,West Bengal,5.20,3.50,673.08
Minor Millets,2000-01      ,West Bengal,4.40,2.90,659.09
Minor Millets,2001-02         ,West Bengal,4.60,3.10,673.91
Minor Millets,2002-03  ,West Bengal,4.10,3.20,780.49
Minor Millets,2003-04,West Bengal,3.80,3.00,789.47
Minor Millets,2004-05,West Bengal,3.00,2.70,900.00
Minor Millets,2005-06,West Bengal,3.30,3.00,909.09
Minor Millets,2006-07,West Bengal,3.30,3.00,909.09
Minor Millets,2007-08,West Bengal,3.20,3.00,937.50
Minor Millets,2008-09,West Bengal,2.60,2.50,961.54
Minor Millets,2009-10,West Bengal,1.70,1.80,1058.82
Minor Millets,2010-11,West Bengal,1.50,1.48,985.35
Minor Millets,2011-12,West Bengal,1.02,0.68,666.67
Minor Millets,2012-13,West Bengal,1.66,1.80,1084.34
Minor Millets,2013-14,West Bengal,1.55,1.51,974.77
Minor Millets,2014-15,West Bengal,1.62,1.60,987.65
Minor Millets,2015-16,West Bengal,2.27,1.66,733.04
Minor Millets,2016-17,West Bengal,2.35,1.94,827.44
Minor Millets,2017-18,West Bengal,2.70,2.20,814.81
Minor Millets,2018-19,West Bengal,5.42,4.61,850.00
Minor Millets,2019-20,West Bengal,6.10,5.54,907.00
Pearl Millet (Bajra),1966-67,All India                             ,12239.70,4468.30,365.07
Pearl Millet (Bajra),1967-68,All India                             ,12807.50,5184.90,404.83
Pearl Millet (Bajra),1968-69,All India                             ,12051.80,3801.80,315.45
Pearl Millet (Bajra),1969-70,All India                             ,12492.80,5326.80,426.39
Pearl Millet (Bajra),1970-71,All India                             ,12913.40,8028.80,621.74
Pearl Millet (Bajra),1971-72,All India                             ,11773.30,5319.10,451.79
Pearl Millet (Bajra),1972-73,All India                             ,11816.80,3929.40,332.53
Pearl Millet (Bajra),1973-74,All India                             ,13933.40,7519.20,539.65
Pearl Millet (Bajra),1974-75,All India                             ,11258.10,3271.90,290.63
Pearl Millet (Bajra),1975-76,All India                             ,11571.30,5735.80,495.69
Pearl Millet (Bajra),1976-77,All India                             ,10750.80,5853.40,544.46
Pearl Millet (Bajra),1977-78,All India                             ,11103.80,4730.20,426.00
Pearl Millet (Bajra),1978-79,All India                             ,11392.90,5566.40,488.58
Pearl Millet (Bajra),1979-80,All India                             ,10579.30,4047.90,382.62
Pearl Millet (Bajra),1980-81,All India                             ,11657.10,5343.00,458.35
Pearl Millet (Bajra),1981-82,All India                             ,11783.90,5537.30,469.90
Pearl Millet (Bajra),1982-83,All India                             ,10942.20,5131.20,468.94
Pearl Millet (Bajra),1983-84,All India                             ,11832.40,7725.90,652.94
Pearl Millet (Bajra),1984-85,All India                             ,10619.20,6046.40,569.38
Pearl Millet (Bajra),1985-86,All India                             ,10651.80,3663.80,343.96
Pearl Millet (Bajra),1986-87,All India                             ,11266.00,4513.50,400.63
Pearl Millet (Bajra),1987-88,All India                             ,8713.40,3297.50,378.44
Pearl Millet (Bajra),1988-89,All India                             ,12045.70,7779.70,645.85
Pearl Millet (Bajra),1989-90,All India                             ,10899.50,6649.10,610.04
Pearl Millet (Bajra),1990-91,All India                             ,10476.40,6893.80,658.03
Pearl Millet (Bajra),1991-92,All India                             ,10027.50,4665.00,465.22
Pearl Millet (Bajra),1992-93,All India                             ,10616.90,8880.70,836.47
Pearl Millet (Bajra),1993-94,All India                             ,9905.70,4973.50,502.08
Pearl Millet (Bajra),1994-95,All India                             ,10222.50,7159.20,700.34
Pearl Millet (Bajra),1995-96,All India                             ,9319.10,5380.80,577.39
Pearl Millet (Bajra),1996-97,All India                             ,9980.20,7870.20,788.58
Pearl Millet (Bajra),1997-98,All India                             ,9887.70,7644.40,773.12
Pearl Millet (Bajra),1998-99,All India                             ,9297.20,6955.60,748.14
Pearl Millet (Bajra),1999-00,All India                             ,8897.10,5782.20,649.90
Pearl Millet (Bajra),2000-01      ,All India                             ,9828.90,6759.20,687.69
Pearl Millet (Bajra),2001-02         ,All India                             ,9529.10,8284.00,869.34
Pearl Millet (Bajra),2002-03  ,All India                             ,7739.80,4718.90,609.69
Pearl Millet (Bajra),2003-04,All India                             ,10612.30,12109.30,1141.06
Pearl Millet (Bajra),2004-05,All India                             ,9232.90,7931.30,859.03
Pearl Millet (Bajra),2005-06,All India                             ,9581.20,7684.00,801.99
Pearl Millet (Bajra),2006-07,All India                             ,9507.90,8423.70,885.97
Pearl Millet (Bajra),2007-08,All India                             ,9571.30,9970.10,1041.67
Pearl Millet (Bajra),2008-09,All India                             ,8752.50,8887.10,1015.38
Pearl Millet (Bajra),2009-10,All India                             ,8904.17,6506.41,730.71
Pearl Millet (Bajra),2010-11,All India                             ,9612.34,10369.90,1078.81
Pearl Millet (Bajra),2011-12,All India                             ,8776.70,10276.00,1170.83
Pearl Millet (Bajra),2012-13,All India                             ,7297.42,8741.98,1197.96
Pearl Millet (Bajra),2013-14,All India                             ,7810.72,9250.09,1184.28
Pearl Millet (Bajra),2014-15,All India                             ,7317.95,9184.22,1255.03
Pearl Millet (Bajra),2015-16,All India                             ,7128.61,8066.63,1131.59
Pearl Millet (Bajra),2016-17,All India                             ,7458.50,9729.84,1304.53
Pearl Millet (Bajra),2017-18,All India                             ,7480.60,9208.85,1231.03
Pearl Millet (Bajra),2018-19,All India                             ,7105.03,8664.13,1219.00
Pearl Millet (Bajra),2019-20,All India                             ,7542.68,10362.68,1374.00
Pearl Millet (Bajra),1966-67,Andhra Pradesh,655.90,370.20,564.42
Pearl Millet (Bajra),1967-68,Andhra Pradesh,589.10,287.70,488.37
Pearl Millet (Bajra),1968-69,Andhra Pradesh,572.30,232.40,406.08
Pearl Millet (Bajra),1969-70,Andhra Pradesh,601.90,320.00,531.65
Pearl Millet (Bajra),1970-71,Andhra Pradesh,584.00,290.10,496.75
Pearl Millet (Bajra),1971-72,Andhra Pradesh,522.00,228.20,437.16
Pearl Millet (Bajra),1972-73,Andhra Pradesh,505.90,179.80,355.41
Pearl Millet (Bajra),1973-74,Andhra Pradesh,582.40,365.20,627.06
Pearl Millet (Bajra),1974-75,Andhra Pradesh,577.80,307.90,532.88
Pearl Millet (Bajra),1975-76,Andhra Pradesh,622.30,351.10,564.20
Pearl Millet (Bajra),1976-77,Andhra Pradesh,562.50,244.90,435.38
Pearl Millet (Bajra),1977-78,Andhra Pradesh,568.40,378.30,665.55
Pearl Millet (Bajra),1978-79,Andhra Pradesh,567.90,357.70,629.86
Pearl Millet (Bajra),1979-80,Andhra Pradesh,451.80,295.40,653.83
Pearl Millet (Bajra),1980-81,Andhra Pradesh,515.50,336.20,652.18
Pearl Millet (Bajra),1981-82,Andhra Pradesh,543.60,443.50,815.86
Pearl Millet (Bajra),1982-83,Andhra Pradesh,492.40,259.40,526.81
Pearl Millet (Bajra),1983-84,Andhra Pradesh,492.70,360.80,732.29
Pearl Millet (Bajra),1984-85,Andhra Pradesh,394.60,205.80,521.54
Pearl Millet (Bajra),1985-86,Andhra Pradesh,356.30,209.50,587.99
Pearl Millet (Bajra),1986-87,Andhra Pradesh,336.00,195.80,582.74
Pearl Millet (Bajra),1987-88,Andhra Pradesh,311.70,155.90,500.16
Pearl Millet (Bajra),1988-89,Andhra Pradesh,281.90,196.50,697.06
Pearl Millet (Bajra),1989-90,Andhra Pradesh,258.30,181.60,703.06
Pearl Millet (Bajra),1990-91,Andhra Pradesh,231.40,167.70,724.72
Pearl Millet (Bajra),1991-92,Andhra Pradesh,192.00,135.20,704.17
Pearl Millet (Bajra),1992-93,Andhra Pradesh,170.80,128.60,752.93
Pearl Millet (Bajra),1993-94,Andhra Pradesh,143.20,110.70,773.04
Pearl Millet (Bajra),1994-95,Andhra Pradesh,137.30,107.10,780.04
Pearl Millet (Bajra),1995-96,Andhra Pradesh,133.30,127.20,954.24
Pearl Millet (Bajra),1996-97,Andhra Pradesh,132.00,122.00,924.24
Pearl Millet (Bajra),1997-98,Andhra Pradesh,96.00,67.00,697.92
Pearl Millet (Bajra),1998-99,Andhra Pradesh,127.00,119.00,937.01
Pearl Millet (Bajra),1999-00,Andhra Pradesh,117.00,98.00,837.61
Pearl Millet (Bajra),2000-01      ,Andhra Pradesh,143.00,149.00,1041.96
Pearl Millet (Bajra),2001-02         ,Andhra Pradesh,91.50,71.00,775.96
Pearl Millet (Bajra),2002-03  ,Andhra Pradesh,87.00,57.00,655.17
Pearl Millet (Bajra),2003-04,Andhra Pradesh,138.00,148.00,1072.46
Pearl Millet (Bajra),2004-05,Andhra Pradesh,94.00,81.00,861.70
